district_name,rent_avg_eur_sqm,buy_avg_eur_sqm,GESIx_2022,ESIx_2022,DI_2022,DII_2022,DIII_2022,affordability_score,gesix_rank,rent_rank,affordability_rank_score
Marzahn-Hellersdorf,12.830000000000002,3512.4,-0.01210769,-0.092937075,-0.24761039,0.062651657,0.15352137,-0.0009437014809041309,6.0,1.0,7.0
Treptow-Köpenick,13.327142857142857,3758.4285714285716,0.86566222,0.8208296299999999,0.74539196,0.88818234,0.91711223,0.06495482409690213,4.0,3.0,7.0
Lichtenberg,13.2,3967.5555555555557,-0.023899317,0.039579716,-0.031857442,0.11062703,-0.15106227,-0.0018105543181818182,7.0,2.0,9.0
Pankow,14.030909090909091,4171.181818181818,1.1949542,1.3821182,1.2439773,1.5066454,0.76098776,0.08516584294414928,2.0,7.0,9.0
Steglitz-Zehlendorf,16.101428571428574,5703.571428571428,1.5523623,1.4703928000000002,1.6501418,1.2761607,1.6455822,0.09641146393398987,1.0,9.0,10.0
Tempelhof-Schöneberg,14.773333333333333,4489.333333333333,0.18492582,0.06754297,0.09473803600000001,0.039682612,0.41430613,0.012517541967509024,5.0,8.0,13.0
Charlottenburg-Wilmersdorf,16.9825,6172.25,0.94790566,0.83007973,0.93731552,0.7146678,1.1423326,0.05581661475047843,3.0,12.0,15.0
Reinickendorf,13.957777777777778,4169.777777777777,-0.46939251,-0.50388205,-0.55108762,-0.45171329000000005,-0.37738416,-0.03362945860531762,9.0,6.0,15.0
Spandau,13.336666666666666,3916.5,-1.1689726,-1.0973353,-1.0551138,-1.1287484,-1.2605367,-0.08765103224193953,11.0,4.0,15.0
Neukölln,13.66,3996.75,-1.6312941,-1.7819841,-1.7242346,-1.8221813,-1.2505708,-0.11942123718887263,12.0,5.0,17.0
Friedrichshain-Kreuzberg,16.73,5253.5,-0.40823063,-0.19761552,-0.16301785,-0.23026672,-0.81685513,-0.024401113568439926,8.0,11.0,19.0
Mitte,16.106666666666666,4967.666666666667,-1.0319133,-0.9367889799999999,-0.8986429,-0.9657079,-1.1774333,-0.0640674648178808,10.0,10.0,20.0
